"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"D1";"PMEG3015EH,115";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";
"F3";"MF-R050";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";"";"";"";
"J2";"A00-108-220-450";"A00-108-220-450";"RJ-45";"";"";"";"";"";
"J3";"A00-108-220-450";"A00-108-220-450";"RJ-45";"";"";"";"";"";
"J4";"";"JACK-PLUG0";"SPC4077";"DC POWER JACK";"";"";"unknown";"unknown";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"R1";"120";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R2";"120";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R3";"4k7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"TERM-L";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
"TERM-R";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
"X1";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X2";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X3";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X4";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X5";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X6";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X7";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X8";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X9";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X10";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X11";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X12";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X13";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X14";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X15";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
"X16";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";
